rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/jason_bourne,Peter Rainer,True,Christian Science Monitor,Fresh,B,2016-07-29,This new installment in the series is one of the better ones.
m/frontera_2014,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Rotten,C,2014-11-24,Frontera does not measure up as an issue-oriented film
m/the_shed_2019,Rex Reed,True,Observer,Rotten,0/4,2019-11-15,There's nothing to make your hair stand on end in The Shed because it's not convincing.
m/dirty_shame,Cherryl Dawson and Leigh Ann Palone,False,TheMovieChicks.com,Rotten,1.5/5,2004-09-26,The few laughs I got were not worth suffering through the rest of the movie.
m/sex_and_the_city_2,David Edwards,False,Daily Mirror (UK),Rotten,2.5/5,2010-05-28,"Like one of those Cosmopolitan cocktails, it's guaranteed to leave women everywhere with a warm, fuzzy glow. For men, it's like all your hangovers came along at once."
m/monster_house,Andrea Chase,False,Killer Movie Reviews,Fresh,4/5,2006-07-14,"The camera angles are dynamic, the dialogue wry, the story crackerjack, and the direction keeps everything moving along at just the right pace"
m/gothika,Vince Koehler,False,Entertainment Spectrum,Fresh,3/4,2004-05-26,Halle is always great to watch and this is a well-written horror story.
m/the_details_2010,Michael O'Sullivan,True,Washington Post,Rotten,1.5/4,2012-11-02,"""The Details"" wears its quirky heart on its sleeve, signaling (and smirking at) its own silliness, at every opportunity, with an intrusively antic score that makes everything sound like a giant joke."
m/whats_your_number,Connie Ogle,True,Miami Herald,Fresh,2.5/4,2011-09-29,"What's Your Number? manages to skate the line between romantic and risque, which is far more than most movies of its ilk can accomplish."
m/i_dreamed_of_africa,Geoff Pevere,True,Toronto Star,Rotten,,2000-01-01,I Dreamed Of Africa turns authentic experience into the stuff of high cliché.
m/halloween_2018,Dana Barbuto,False,The Patriot Ledger,Fresh,B,2018-10-19,"Lock up the baby sitters. Hide the cutlery ... Despite succumbing to the tropes of the horror genre, the movie is a cut above most slasher flicks"
m/sucker_punch_2011,Radheyan Simonpillai,False,AskMen.com,Rotten,43/100,2011-03-25,The movie adopts an imaginary-world-inside-an-imaginary-world framework that will have audiences instantly recollecting Inception's dream-within-a-dream. Now all we need is for Leonardo DiCaprio to infiltrate Snyder's dream world and plant a better movie.
m/the-passenger-professione-reporter,Ken Hanke,False,"Mountain Xpress (Asheville, NC)",Fresh,4/5,2006-01-25,A fascinating artifact of the last gasp of a kind of international cinema that more or less ended the same year this came out.
m/green_room_2016,Andy Lea,False,Daily Star (UK),Rotten,2/5,2016-12-31,"The dialogue is flat, the plot lacks coherence and the characters are underwritten."
m/good_night,Stephen Holden,True,New York Times,Rotten,2/5,2007-10-05,"The comedy of male midlife angst dates back at least to The Seven-Year Itch, when it was sweet and innocent. Each time it is recycled, it gets more sour and joyless."
m/1096844-committed,David Noh,False,Film Journal International,Fresh,,2000-01-01,"The deep empathy, ditsy humor and eccentricity of Krueger's vision are what carries it all off."
m/blade_of_the_immortal,Kambole Campbell,False,One Room With A View,Fresh,4/5,2018-08-25,"A gruelling, blood-soaked and often darkly comic samurai epic with a huge body count, Blade of the Immortal is an outrageous delight."
m/pulp_fiction,James Mottram,False,Total Film,Fresh,5/5,2014-05-13,Now where did we put our gold watch?
m/10009929-a_christmas_tale,Michael Phillips,True,Chicago Tribune,Fresh,4/4,2008-11-20,"It's a simple picture about complicated people, the members and sometime-combatants of the extended Vuillard family."
m/cant_stop_the_music,Michael Szymanski,False,Zap2it.com,Rotten,1/5,2003-04-27,
m/diary_of_a_mad_black_woman,Randy Cordova,True,Arizona Republic,Fresh,3/5,2005-02-24,"A lot of it shouldn't work -- and doesn't -- but even while you're sitting there, thinking that it can't go much farther off track, it manages to be fairly involving."
m/youth_without_youth,Stella Papamichael,True,BBC.com,Rotten,2/5,2007-12-13,"It's impossible to say for sure, but the moral of the story could be: don't waste your time."
m/dark_water,Terry Lawson,True,Detroit Free Press,Fresh,3/4,2005-07-08,"In a time when American acting icons like Robert De Niro and Jane Fonda take roles in junk and call it good fun, Connelly shows us how an actor can respect commercial moviemaking and her craft."
m/los_angeles_plays_itself,Robert Koehler,True,Variety,Fresh,,2004-08-11,Andersen's key accomplishment is to profoundly alter the viewer's assumptions of what is good in movies.
m/superman_man_of_steel,Jason Bailey,False,Flavorwire,Rotten,,2016-06-21,Snyder is an adrenaline junkie forever jonesing for a fix; he does less building to the action beats than backing each one into the next.
m/kansas_city_confidential,Emanuel Levy,False,EmanuelLevy.Com,Fresh,3/5,2005-07-09,
m/into_great_silence,A.O. Scott,True,New York Times,Fresh,4/5,2007-02-28,"The achievement of Into Great Silence is the way it captures the slow, delicate rhythm of the Carthusian monks."
m/the_strangers,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Rotten,C,2008-05-31,Left me feeling exploited as this vile pretentious thriller never committed itself to being more than a rip-off scare flick.
m/notes_on_blindness,Stephen Puddicombe,False,Total Film,Fresh,3/5,2017-01-02,Hull's observations -- an audio diary -- provide plenty of insight and engagement.
m/the_danish_girl_2015,David Sims,True,The Atlantic,Rotten,,2015-12-03,"The Danish Girl is telling an important story, but it does so by following the blueprint of a thousand biopics that have come before."
m/dinner_for_schmucks,Matt Joseph,False,We Got This Covered,Rotten,4/10,2013-11-09,Dinner For Schmucks seems promising at first but too many plot points feel forced and the humor is too dumb to enjoy.
m/albert_nobbs,Andrew L. Urban,False,Urban Cinefile,Fresh,,2011-12-17,"For all its strengths, Albert Nobbs has its weaknesses; director Rodrigo Garcia often allows the film to seem stilted and the story doesn't fully satisfy"
m/make_believe_2011,Joe Morgenstern,True,Wall Street Journal,Fresh,,2011-05-27,Terrifically likable without trying too terribly hard.
m/goldeneye,Maitland McDonagh,False,TV Guide,Fresh,3/5,2008-10-13,"Lean, dark and graceful, Brosnan wraps his perfectly calculated accent around all the standard phrases without making us hear quotation marks."
m/radio,Jeff Vice,False,Deseret News (Salt Lake City),Rotten,1.5/4,2003-10-24,The fact that the people responsible for this 1970s-period drama have made something so reprehensibly phony out of a true story makes you want to slap them silly.
m/wristcutters_a_love_story,Karina Longworth,False,Cinematical,Fresh,,2007-10-22,"It's a bold first effort, with a distinct, swaggering sense of style and humor that's hard -- even for a cynical blogger sick to death of indie 'quirk' -- to resist."
m/leave_it_on_the_floor,Nicholas Bell,False,IONCINEMA.com,Rotten,2/5,2019-06-27,"While Larry's film certainly sports a pulsing rhythm in some of its excellent musical numbers, it unfortunately exhibits a distracting amount of low budget hallmarks that weigh it down as a run-of-the-mill niche picture."
m/shaun_the_sheep_movie,Adam Woodward,True,Little White Lies,Fresh,4/5,2015-02-05,This delectable tale of a stop-motion sheep in the city reminds us why Aardman Animation are a national treasure.
m/apostle_2018,J Hurtado,False,ScreenAnarchy,Fresh,,2018-10-04,"There is a lot to like in Gareth Huw Evans' ambitious folk horror tale, Apostle. The problem might be that there is just too much of everything to really fall in love."
m/samsara_2012,Nigel Andrews,True,Financial Times,Rotten,2/5,2012-08-30,"I'm certain that the desired effect was not to emerge depressed, but this had that effect."
m/richard_jewell,Leigh Monson,False,Birth.Movies.Death.,Fresh,,2019-12-04,"Though stark and procedural as Eastwood is when he's at his best, Richard Jewell is much more of a character study of Jewell than an examination of the case surrounding him."
m/hours,Steve Rhodes,False,Internet Reviews,Rotten,2/4,2003-01-13,This women's picture could easily be the final film in a disease-of-the-week movie festival on the Lifetime channel.
m/into_the_wild,Dana Stevens,True,Slate,Rotten,,2007-09-24,Penn performs one bit of sleight-of-hand on the book that's borderline unforgivable.
m/emperors_new_clothes,Susan Stark,True,Detroit News,Fresh,3/4,2002-07-19,"Recent and long-standing fans of Holm must relish the chance to watch Sir Ian in a dual role, one that he explores with customary insight, subtlety and good humor."
m/jason_bourne,George M. Thomas,False,The Cleveland Movie Blog,Fresh,3/4,2017-09-19,... Jason Bourne proves to be a worthy entry into the Bourne saga.
m/lucky_number_slevin,Rebecca Murray,False,About.com,Fresh,B+,2006-04-07,"Lucky Number Slevin is one smart, slick, and engaging thriller."
m/burnt_by_the_sun,Rob Gonsalves,False,eFilmCritic.com,Rotten,3/5,2000-01-01,"Overbearing and, unsurprisingly, mostly forgotten."
m/everybody_knows,Andiee Paviour,False,Nobody's Reading This But Me,Fresh,3/5,2019-06-23,"The family gathering, that creaky nest of vipers, proves patchy ground for writer-director Asghar Farhadi and his gamely fired-up cast."
m/the_irishman,Robert Kojder,False,Flickering Myth,Fresh,5/5,2019-11-02,"Hey Scorsese, I heard you like Oscars"
m/because_i_said_so,Tom Meek,False,Boston Phoenix,Rotten,1/4,2009-04-23,The ensuing cycle of miscommunication is endless and trying.
m/portrait_of_wally,John Anderson,True,Variety,Fresh,,2012-05-01,"Turning over rocks in and around the New York art world, helmer Andrew Shea finds a lot of ugly stuff while chronicling what amounts to a 60-year hostage drama centered around the Egon Schiele oil painting that gives the film its title."
m/son_of_the_mask,Mike Clark,True,USA Today,Rotten,1/4,2005-02-17,"Icky and incompetent (special effects aside) in equal parts, this groaner makes 1994's The Mask look like something you'd study in a film graduate course at NYU."
m/attack_the_block,Marshall Fine,False,Hollywood & Fine,Fresh,,2011-07-22,"Snappy and confident, funny and exciting - an alien space-horror comedy that will engage even those who think they're beyond this sort of thing."
m/scouts_guide_to_the_zombie_apocalypse,Brian Gibson,False,"Vue Weekly (Edmonton, Alberta)",Rotten,,2016-01-09,"Beyond its tardy, fitful contribution to the undead evolution, this teen flick's apparently never heard of the actual women's revolution. So we're treated to some B-horror fun here and there, increasingly buzzkilled by horny-moan, male-it-in humour."
m/any_given_sunday,Dustin Putman,False,TheFilmFile.com,Rotten,2/4,2000-01-01,"A fast-paced, entertaining drama that, little-by-little, grows problematic when you stop to think long enough about its specifics."
m/the_place_beyond_the_pines_2012,Louise Keller,False,Urban Cinefile,Fresh,,2013-05-04,Mike Patton's grumbling song The Weight of Consequences eloquently reflects the hard-hitting theme of this provocative and gripping film in which three troubled roads are travelled
m/amityville_the_demon,Cole Smithey,False,ColeSmithey.com,Rotten,2/5,2008-03-08,
m/the_bay_2012,Mark Adams,False,Screen International,Fresh,,2012-10-31,Levinson succeeds with his mission to both entertain and inform.
m/we_steal_secrets_the_story_of_wikileaks_2013,John Anderson,True,Newsday,Fresh,4/4,2013-06-06,"Engaging, kinetic, revelatory and unexpected."
m/bless_the_child,Jim Chastain,False,Norman Transcript,Rotten,,2000-01-01,"Except for a few computerized demons here and there, some scattered Biblical references, and two or three parallels to Jesus, the film was not all that supernatural. And it wasn't all that thrilling either."
m/chicken_run,Lisa Alspector,True,Chicago Reader,Fresh,,2013-08-04,"The finale and a scene set inside the pie-making machinery prove that the Rube Goldberg formula is infallible, and the puns -- another staple of crossover animation -- range from ""fowl"" to ""poultry in motion."""
m/all_the_kings_men,Nick Rogers,False,"State Journal-Register (Springfield, IL)",Rotten,1.5/4,2006-09-29,"The actors don't spar, but jab and feint into the stale air that comes with such stuffy, fossilized movies as this. Put together again more for new Oscars than new audiences, it's a handsomely shot disaster."
m/x2_xmen_united,Lisa Schwarzbaum,True,Entertainment Weekly,Fresh,B+,2003-04-30,There's invigorating charm in X2's many scenes of unhurried playfulness and gentle puns on serious themes of tolerance.
m/memoirs_of_an_invisible_man,Widgett Walls,False,Needcoffee.com,Rotten,1/5,2005-09-14,"The first film to be released by the pod person John Carpenter, after the real one was abducted by aliens."
m/crystal_fairy,Stephen Holden,True,New York Times,Fresh,3.5/5,2013-07-11,"[A] small, lovely road movie ..."
m/hard_candy,Alberto Abuín,False,Espinof,Rotten,,2019-06-28,"A loose film, which is provocative and scandalous. But the only thing it causes is boredom. [Full Review in Spanish]"
m/miss_pettigrew_lives_for_a_day,Miguel Gonzalez,False,Empire Magazine Australasia,Fresh,3/5,2008-05-15,An ultra-light screwball comedy with enough charm ot make Miss Pettigrew live for at least a second viewing.
m/death_to_smoochy,Frederic and Mary Ann Brussat,False,Spirituality & Practice,Fresh,,2002-03-29,A rude black comedy about the catalytic effect a holy fool has upon those around him in the cutthroat world of children's television.
m/minions,Blake Goble,False,Consequence of Sound,Rotten,D,2015-07-09,"Watching Minions is like watching a spastic colon spew little yellow turds at you. It's less a movie than a brand strategy meeting, all the way through."
m/1079818-anastasia,Rachel Wagner,False,rachelsreviews.net,Fresh,B,2019-04-19,"Overall, Anastasia ends up being a very entertaining animated film."
m/no_country_for_old_men,Ryan Gilbey,False,New Statesman,Rotten,,2015-02-22,"An exasperating and self-defeating experience, rather like listening to a nymphomaniac extol the virtues of celibacy."
m/hail_caesar_2016,Brian Truitt,True,USA Today,Fresh,3/4,2016-02-03,The combination of the Coen brothers' filmmaking acumen and George Clooney in absolute buffoon mode is again Hollywood magic.
m/rio,Betsy Sharkey,True,Los Angeles Times,Fresh,3/5,2011-04-14,More things work than not in this sweetened sweet bird of youth. Maybe the G is for good fun or great music or a gentle good time.
m/harry_potter_and_the_prisoner_of_azkaban,Jack Garner,False,Rochester Democrat and Chronicle,Fresh,10/10,2004-06-04,"As magical and adventurous as ever, but perhaps just a smidgen darker than its predecessors, and deliciously foreboding."
m/urban_legend,Erik Childress,False,eFilmCritic.com,Rotten,2/5,2000-01-01,
m/festival_in_cannes,Shawn Levy,False,Oregonian,Fresh,,2002-03-29,"The touch is generally light enough and the performances, for the most part, credible."
m/game_change_2012,David Hiltbrand,True,Philadelphia Inquirer,Fresh,,2012-08-06,"The dramatic re-creations are somewhat uneven: The convention staging is quite convincing, the campaign trail less so."
m/handsome_harry,Marshall Fine,False,Hollywood & Fine,Fresh,,2010-04-16,"While it jumps the rails at a couple of different points dramatically, Handsome Harry keeps winning you back because of Jamey Sheridan's performance."
m/straw-dogs-2011,Glenn Lovell,False,CinemaDope,Rotten,1.5/4,2011-09-17,"... nothing on its mind but cashing in on the current glut of home-invasion thrillers ... the worst 're-imagining' of an American classic since Gus Van Sant's deadpan, shot-for-shot desecration of 'Psycho.'"
m/1210749-eclipse,Avi Offer,False,NYC Movie Guru,Rotten,1.21/10,2010-07-01,"Poorly-acted, bland, overlong and thrill-less. It insults your intelligence from start to finish."
m/when_comedy_went_to_school,Chris Hewitt,False,St. Paul Pioneer Press,Fresh,2.5/4,2013-09-26,"It's not bad, but it will be a better fit when it eventually ends up on PBS or the History Channel."
m/dragon_wars,Derek Elley,True,Variety,Rotten,,2007-07-21,"A feast of A-grade f/x married to a Z-grade, irony-free script."
m/contraband_2012,Todd Jorgenson,False,Cinemalogue,Rotten,,2012-01-20,"The storyline is driven by too many nick-of-time scenarios, the repetitive nature of which gradually decrease their impact."
m/raising_helen,William Arnold,False,Seattle Post-Intelligencer,Fresh,B-,2004-05-28,"Pulls out all the stops to make [Hudson] adorable, and only the hardhearted will be able to resist her self-deprecating charm and light-up-the-world smile."
m/99_homes,Frank Swietek,False,One Guy's Opinion,Rotten,C+,2015-10-08,Dramatically it's a deck as stacked as the one that unscrupulous bankers and realtors dealt to the borrowers who lost everything.
m/the_birth_of_a_nation_2016,Laura Clifford,False,Reeling Reviews,Rotten,C+,2016-10-06,"It starts strong then takes too long to build to an abbreviated, muddled climax...Parker appears to have lost his nerve as a director at the pivotal moment, the full horror of Turner's rebellion too muted"
m/jackie_2016,Manohla Dargis,True,New York Times,Fresh,,2016-12-01,"In some roles, Ms. Portman stiffens up and never seems to get out of her head; in ""Jackie"" this works as a character trait."
m/fear_and_loathing_in_las_vegas,Todd McCarthy,True,Variety,Rotten,,2009-03-26,Pic serves up a sensory overload without any compensatory reflection on the outlandish and irresponsible behavior on view.
m/along_came_a_spider,Maitland McDonagh,False,TV Guide,Rotten,2/5,2001-04-06,"If Michael Wincott -- who under normal circumstances can chill your blood just by breathing -- can't make the villain compelling, you know the movie's in trouble."
m/hip_hop_project,Nick Schager,False,Slant Magazine,Rotten,2/4,2007-05-06,"There's an inspirational story lurking within The Hip Hop Project, but directors Matt Ruskin and Scott K. Rosenberg can't quite seem to bring it out."
m/i_killed_my_mother,Brian D. Johnson,False,Maclean's Magazine,Fresh,,2019-07-26,"I Killed My Mother is styled as cinema about cinema-Dolan wears his influences on his sleeve, from Jean-Luc Godard to Rimbaud. But this is ultimately a drama of flesh-and-blood relationships, not ideas."
m/big_night,Lori Hoffman,False,Atlantic City Weekly,Fresh,4/5,2005-03-24,"A feast of great acting and tender, small moments"
m/avatar,Anton Bitel,False,Eye for Film,Fresh,,2009-12-14,"There is much in Avatar that is broadly drawn, clichéd even - but it is also these very things which might just earn it the status of a classic."
m/break_up,Dustin Putman,False,TheFilmFile.com,Fresh,2.5/4,2006-06-01,"For all of its comedic nosedives, the film is frank and uncompromising as a study of the final weeks of a relationship."
m/diamonds_are_forever,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B,2009-02-13,The clumsily executed climax reduces the quality of the film considerably.
m/osama,Thomas Delapa,False,Boulder Weekly,Fresh,,2004-03-18,...asks irresistible questions about the sexist inequality rampant in modern-day Islam.
m/miracle,Eric Lurio,False,Greenwich Village Gazette,Fresh,3/5,2004-02-07,"Director Gavin O'Connor and writer Eric Guggenheim have come up with a simple, 'good for the whole family' masterpiece. This was not expected."
m/attack_the_block,Jesse Hassenger,False,Filmcritic.com,Fresh,3.5/5,2011-07-28,a bit like Goonies and War of the Worlds filtered through the original English version of Skins
m/lara_croft_tomb_raider,Stacie Hougland,False,Hollywood.com,Rotten,2/5,2003-08-01,You never get any explanation of who these people are or why they do what they do.
m/simpsons_movie,Jay Antani,False,Cinema Writer,Fresh,3/4,2010-08-17,"though Homer himself chastises us, near the start of the movie, for paying for something we can watch on TV for free, I consider the money I put down my contribution to Groening's good cause."
m/sharkwater,Gianni Truzzi,False,Seattle Post-Intelligencer,Fresh,B+,2007-11-01,"It may seem strange to contemplate the possibility that sharks are more victim than vicious. Yet after Stewart makes his case you may find them and their cause, as he does, all-consuming."
m/teenage_mutant_ninja_turtles_2_the_secret_of_the_ooze,Desson Thomson,True,Washington Post,Rotten,,2000-01-01,"Didn't seem quite as good as the first -- at least, in terms of reproducing the atmosphere of the original."
m/stigmata,Prairie Miller,False,Long Island Press,Fresh,8/10,2000-01-01,Stigmata packs a jolting dose of terror compounded by wrap-around chilling gothic atmosphere.
m/justice_league_2017,Kent Garrison,False,Mad About Movies Podcast,Rotten,D,2018-11-15,Two solid hours of comic book cringe.
m/young_and_innocent,John A. Nesbit,False,Old School Reviews,Fresh,B-,2006-05-12,swift pace and dry humor far more entertaining than most late night offerings
m/into_the_abyss_2011,Michael Phillips,True,Chicago Tribune,Fresh,3/4,2011-11-10,"Not since Errol Morris' masterwork of investigative documentary, ""The Thin Blue Line,"" has a filmmaker had such an easy time of making the death penalty-crazed state of Texas look quite so casually venal."
m/sexy_beast,Rich Cline,False,Shadows on the Wall,Fresh,3.5/5,2001-12-10,"Strikingly directed by Glazer, a veteran of Guinness adverts and Radiohead videos, Sexy Beast is a slightly above average British crime comedy because of the insightful wit in its script, direction and performances."
m/tolkien,Rob Thomas,False,"Capital Times (Madison, WI)",Rotten,2/4,2019-05-09,"""Tolkien"" might have been a better movie if it had been about a writer named J.R.R. Tolbert."
m/stronger_2017,Bill Gibron,False,Film Racket,Fresh,4/5,2017-09-25,Get ready to hear Oscar buzz about Gyllenhaal's performance
m/and_so_it_goes,Joe Neumaier,True,New York Daily News,Rotten,2/5,2014-07-25,"If director Rob Reiner's AARP-aimed comedy stumbles on several fronts, at least it provides a stage for some seasoned pros to strut their stuff."
m/bridget_joness_baby_2016,Henry Fitzherbert,False,Daily Express (UK),Fresh,5/5,2016-11-09,"Directed with style and wit by Sharon Maguire, who made the original, Bridget Jones's Baby delivers in every department."
m/rocky_balboa,Eric D. Snider,False,EricDSnider.com,Fresh,B+,2006-12-20,A tender and emotional finale that stirs the soul almost as well as the first one did.
m/aileen_life_and_death_of_a_serial_killer,Marjorie Baumgarten,False,Austin Chronicle,Fresh,3.5/5,2004-02-08,A valuable and insightful contribution to the mountain of Aileen Wuornos speculation and documentation.
m/one_lucky_elephant_2011,Alison Willmore,True,AV Club,Fresh,A-,2011-06-09,One Lucky Elephant is a poignant documentary whose simple premise masks a substantial emotional wallop...
m/itzhak,Zachary Lewis,False,Cleveland Plain Dealer,Fresh,A,2018-03-20,"If you don't already know and love violinist Itzhak Perlman, you will after watching ""Itzhak."""
m/the_guard_2011,Jason Best,False,Movie Talk,Fresh,,2011-08-23,"Gleeson's Boyle constantly wrong-foots those around him. He has no time for political correctness, yet it's his mealy-mouthed PC-Plod colleagues who are the real racists ... McDonagh's film shares his jaunty irreverance."
m/goodnight_mommy,Sean Axmaker,False,Seanax.com,Fresh,,2016-02-12,Goodnight Mommy (2015) is an unsettling horror film built on scars (physical and psychological) that upset the connection between a mother (Susanne Wuest) and her sons...
m/into_the_woods_2014,Dustin Putman,False,TheFilmFile.com,Fresh,3.5/4,2014-12-22,"Dark and heavenly, sardonic and touching, the film melodically navigates its every narrative turn and tonal shift with the same grace afforded to its gloriously shrewd music and lyrics."
m/battleship,Christopher Tookey,False,Daily Mail (UK),Rotten,0/5,2012-04-12,Battleship is trash.
m/the-house-by-the-cemetery,Ed Travis,False,Hollywood Jesus,Fresh,,2020-04-01,I had a blast with this horror classic even if it is highly evocative of other isolated scary house movies.
m/just_wright,Mike Scott,False,Times-Picayune,Rotten,1.5/4,2010-05-14,"At its best moments, it's extraordinarily ordinary, and you don't have to be Goldilocks to know that ordinary is never just right."
m/the_hangover_2,Lindy West,False,"The Stranger (Seattle, WA)",Rotten,,2017-08-25,"I don't believe that these characters would ever be friends, I don't like spending time with them, and I do not care what happens to them or their weddings or their adoptive babies or their relationship with Mike Tyson."
m/blockers,Dan Lybarger,False,Arkansas Democrat-Gazette,Fresh,87/100,2018-04-06,[Kay] Cannon handles the shifts in tone effortlessly
m/gringo_2018,Julian Roman,False,MovieWeb,Fresh,2.5/5,2018-03-08,Gringo will certainly tickle your funny bone. The outrageous characters more than make up for the bewildering plot
m/rapt_2011,Mark Feeney,True,Boston Globe,Fresh,3/4,2011-09-15,"""Rapt'' is smooth, cool, and efficient. It's a movie with very little wasted motion - or, for much of its length, wasted emotion."
m/portrait_of_a_lady_on_fire,Erica Ciccarone,False,Nashville Scene,Fresh,,2020-02-22,... a revelatory testament of queer desire and resilience.
m/1174278-definitely_maybe,Karina Montgomery,False,Cinerina,Fresh,4.5/5,2008-03-29,"We get a rare look at a long personal journey through relationships (including his relationship to politics) from the point of view of the man, and a new appreciation of the silver lining on even the saddest cloud."
m/deadpool,Michael A. Smith,False,MediaMikes,Fresh,4.5/5,2016-06-21,"A superhero film is only as good as the actor playing him and, if ever an actor was meant to play Deadpool, it is Ryan Reynolds."
m/raising_cain,Dustin Putman,False,TheFrightFile.com,Fresh,4/4,2016-08-25,"From first scene to the unforgettable final sting, ""Raising Cain"" is hypnotic in its richly devised spell, starkly realistic fears invaded by haunting spurts of dream logic."
m/x2_xmen_united,Jim Agnew,False,Film Threat,Rotten,1.5/5,2003-05-03,A major disappointment.
m/spy_game,Richard Roeper,True,Ebert & Roeper,Fresh,,2001-12-03,"I'll admit the main story is implausible, but the flashbacks were spectacular, and the cast is really good here."
m/faces_places,Emily Yoshida,True,New York Magazine/Vulture,Fresh,,2017-10-03,"There is a real sweetness to this film, especially in Varda and JR's intergenerational chemistry, and its unfussy tone serves it well."
m/tater_tot_and_patton,Tony Macklin,False,tonymacklin.net,Fresh,2/5,2019-05-01,"Tater Tot & Patton is a niche, indie film."
m/the_woman_in_the_fifth,Emanuel Levy,False,EmanuelLevy.Com,Fresh,B-,2012-08-26,
m/stop_loss,Matt Pais,False,Metromix.com,Rotten,2.5/5,2008-03-27,"Stop-loss is a policy dripping with controversy that deserves a complete examination, but Stop-Loss just provides a one-sided account covered with an MTV-style coating."
m/16_blocks,Kurt Loder,False,MTV,Fresh,3/4,2006-03-31,"Mos Def ... truly shines. When he subtly shows us the flickers of fear licking around the edges of his funny, non-stop monologue ... he's a man in touch with a talent that should take him far."
m/hotel_rwanda,Tom Long,True,Detroit News,Fresh,B,2005-01-07,The film serves as reminder and educator for those who've forgotten or never knew about the situation in Rwanda.
m/oldboy_2013,Dustin Putman,False,TheFilmFile.com,Fresh,2.5/4,2013-11-26,"If the film's successive missteps are frustrating, though, it is because the rest of ""Oldboy"" has a dangerously irresistible ambience difficult to deny or resist."
m/spaceship_earth_2020,Mike McGranaghan,False,Aisle Seat,Fresh,4/4,2020-05-05,Spaceship Earth is this year's Apollo 11 - a thoroughly fascinating documentary that uses archival footage to make you feel like part of a notable event.
m/red_dawn_2012,Ethan Alter,False,Television Without Pity,Rotten,,2012-11-21,The new Red Dawn already seems as dated as its 1984 predecessor.
m/herbie_fully_loaded,Josh Larsen,False,"Sun Publications (Chicago, IL)",Rotten,1.5/4,2005-06-24,I've never quite understood the appeal of the sentient car.
m/austin_powers_the_spy_who_shagged_me,Dennis Harvey,True,Variety,Rotten,,2000-01-01,Myers and Michael McCullers' script just doesn't have it in terms of fresh narrative developments or individual gags.
m/for_your_eyes_only,Roger Ebert,True,Chicago Sun-Times,Rotten,2/4,2004-10-23,"Let's face it: When you've seen one impregnable mountaintop fortress, you've seen 'em all."
m/10012288-wild_hunt,Roger Ebert,True,Chicago Sun-Times,Fresh,3/4,2010-06-24,"The acting is effective, the direction by Alexandre Franchi is confident, and the cinematography by Claudine Sauve could hardly look more assured."
m/reign_of_fire,Dan Fazio,False,Citysearch,Fresh,7/10,2002-07-11,"Ignore logic, and the flick has plenty of grungy fantasy appeal."
m/seven_year_itch,Diana Saenger,False,About.com,Fresh,4.5/5,2006-06-29,Marilyn Monroe is a temptress in this delightful comedy.
m/tin_men,Cathy Burke,False,United Press International,Fresh,,2016-11-08,"Levinson has an unerring eye for the trappings of the period, and like Diner, the supporting characters add a realism that is often forgotten in the 'big movie' mentality of the 80s."
m/blumhouses_truth_or_dare,Benjamin Lee,True,Guardian,Fresh,3/5,2018-04-11,"It rattles along at a fair lick, never resting for too long before another nasty surprise."
m/trees_lounge,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B,2004-03-27,An engaging character study.
m/admission,Jim Judy,False,Screen It!,Fresh,,2013-03-22,"It's nothing that will knock your cinematic socks off and the performers clearly aren't stretching much, but it's charming and pleasant enough to keep the pic from failing. (Complete Content Details for Parents also available)"
m/the_unknown_girl,Sean Axmaker,False,Stream on Demand,Fresh,,2017-12-16,I... appreciate how her journey is initially driven by guilt but ends up powered by compassion and a sense of responsibility
m/solo_a_star_wars_story,Sean Burns,False,The ARTery,Fresh,,2018-05-23,A breezy summer entertainment that benefits from high spirits and low expectations.
m/high_rise_2016,Adrian Mack,False,Georgia Straight,Fresh,,2016-05-18,A true love-it-or-hate-it proposition as decadent and unhinged as the behaviour it depicts.
m/crazy_heart,Leigh Paatsch,False,Herald Sun (Australia),Fresh,3/5,2020-05-04,"What keeps this indie drama just the right side of average is a brilliantly measured, Oscar-winning performance by the great Jeff Bridges."
m/spy_kids_3d_game_over,Linda Cook,False,"Quad City Times (Davenport, IA)",Rotten,1.5/4,2003-07-29,"""Tron"" for the oughts?"
m/return_to_the_blue_lagoon,Lou Cedrone,False,Baltimore Sun,Rotten,2/4,2013-05-21,"The movie is occasionally cutesy. That's the worst of it. You can't call it gross, but it is cutesy."
m/jodorowskys_dune,Roger Moore,False,Tribune News Service,Fresh,3/4,2014-04-01,"Fascinating. But calling it ""the greatest movie ever made""? Fanboy, please..."
m/mad_max_fury_road,Robert Kojder,False,Flickering Myth,Fresh,4/5,2017-12-02,Mad Max: Fury Road is a rare successful franchise resurrection; it is an 80s action film with the budget of a modern era film with mind-blowing cinematography
m/godzilla_2000,Steve Rhodes,False,Internet Reviews,Rotten,7/10,2000-01-01,"The problem with Godzilla 2000 is that, like wasabi, a little goes a long way. Thirty minutes would have been plenty for me."
m/sneakers,Vincent Canby,True,New York Times,Rotten,,2003-05-20,The performances are generally quite bad.
